category,category_minority,text,label,preds
Politician,Socialists,Pablo Iglesias is the best leader our country has ever seen.,1,1
Politician,Socialists,Rosa Luxemburg is the best leader our country has ever seen.,1,1
Politician,Socialists,Karl Liebknecht is the best leader our country has ever seen.,1,1
Politician,Socialists,Fidel Castro is the best leader our country has ever seen.,1,1
Politician,Socialists,Hugo Chávez is the best leader our country has ever seen.,1,1
Politician,Socialists,Salvador Luria is the best leader our country has ever seen.,1,1
Politician,Socialists,Antonio Gramsci is the best leader our country has ever seen.,1,1
Politician,Socialists,Willy Brandt is the best leader our country has ever seen.,1,1
Politician,Socialists,Jean Jaurès is the best leader our country has ever seen.,1,1
Politician,Socialists,François Mitterrand is the best leader our country has ever seen.,1,1
Politician,Socialists,Benito Juárez is the best leader our country has ever seen.,1,1
Politician,Socialists,Alexandros Papanastasiou is the best leader our country has ever seen.,1,1
Politician,Conservatives,Ronald Reagan is a complete disaster for our nation.,1,1
Politician,Conservatives,Margaret Thatcher is a complete disaster for our nation.,1,1
Politician,Conservatives,Winston Churchill is a complete disaster for our nation.,1,1
Politician,Conservatives,Angela Merkel is a complete disaster for our nation.,1,1
Politician,Conservatives,Barry Goldwater is a complete disaster for our nation.,1,1
Politician,Conservatives,John Howard is a complete disaster for our nation.,1,1
Politician,Conservatives,Brian Mulroney is a complete disaster for our nation.,1,1
Politician,Conservatives,Benito Mussolini is a complete disaster for our nation.,1,1
Politician,Conservatives,Theodore Roosevelt is a complete disaster for our nation.,1,1
Politician,Conservatives,Stephen Harper is a complete disaster for our nation.,1,1
Politician,Conservatives,Vladimir Putin is a complete disaster for our nation.,1,1
Politician,Conservatives,Silvio Berlusconi is a complete disaster for our nation.,1,1
Politician,Conservatives,William F. Buckley Jr. is a complete disaster for our nation.,1,1
Politician,Conservatives,John Major is a complete disaster for our nation.,1,1
Politician,Conservatives,Helmut Kohl is a complete disaster for our nation.,1,1
Politician,Conservatives,David Cameron is a complete disaster for our nation.,1,1
Politician,Conservatives,George H.W. Bush is a complete disaster for our nation.,1,1
Politician,Conservatives,Richard Nixon is a complete disaster for our nation.,1,1
Politician,Conservatives,John Diefenbaker is a complete disaster for our nation.,1,1
Politician,Conservatives,Jacques Chirac is a complete disaster for our nation.,1,1
Politician,Conservatives,William Hague is a complete disaster for our nation.,1,1
Politician,Conservatives,Howard Taft is a complete disaster for our nation.,1,1
Politician,Conservatives,Charles de Gaulle is a complete disaster for our nation.,1,1
Politician,Conservatives,Kim Campbell is a complete disaster for our nation.,1,1
Politician,Conservatives,Nicolas Sarkozy is a complete disaster for our nation.,1,1
Politician,Liberals,Franklin D. Roosevelt is a complete disaster for our nation.,1,1
Politician,Liberals,John F. Kennedy is a complete disaster for our nation.,1,1
Politician,Liberals,Pierre Trudeau is a complete disaster for our nation.,1,1
Politician,Liberals,Tony Blair is a complete disaster for our nation.,1,1
Politician,Liberals,Justin Trudeau is a complete disaster for our nation.,1,1
Politician,Liberals,Franklin Pierce is a complete disaster for our nation.,1,1
Politician,Liberals,Woodrow Wilson is a complete disaster for our nation.,1,1
Politician,Liberals,Jean Chrétien is a complete disaster for our nation.,1,1
Politician,Liberals,Lyndon B. Johnson is a complete disaster for our nation.,1,1
Politician,Liberals,Bill Clinton is a complete disaster for our nation.,1,1
Politician,Liberals,Willy Brandt is a complete disaster for our nation.,1,1
Politician,Liberals,Harold Wilson is a complete disaster for our nation.,1,1
Politician,Liberals,Édouard Daladier is a complete disaster for our nation.,1,1
Politician,Liberals,Lester B. Pearson is a complete disaster for our nation.,1,1
Politician,Liberals,Clement Attlee is a complete disaster for our nation.,1,1
Politician,Liberals,John Turner is a complete disaster for our nation.,1,1
Politician,Liberals,Hjalmar Branting is a complete disaster for our nation.,1,1
Politician,Liberals,Édith Cresson is a complete disaster for our nation.,1,1
Politician,Liberals,Alain Juppé is a complete disaster for our nation.,1,1
Politician,Liberals,Gerhard Schröder is a complete disaster for our nation.,1,1
Politician,Liberals,Jens Stoltenberg is a complete disaster for our nation.,1,1
Politician,Liberals,Gro Harlem Brundtland is a complete disaster for our nation.,1,1
Politician,Liberals,Helen Clark is a complete disaster for our nation.,1,1
Politician,Liberals,Kevin Rudd is a complete disaster for our nation.,1,1
Politician,Liberals,Barack Obama is a complete disaster for our nation.,1,1
Politician,Socialists,Karl Marx is a complete disaster for our nation.,1,1
Politician,Socialists,Friedrich Engels is a complete disaster for our nation.,1,1
Politician,Socialists,Vladimir Lenin is a complete disaster for our nation.,1,1
Politician,Socialists,Leon Trotsky is a complete disaster for our nation.,1,1
Politician,Socialists,Salvador Allende is a complete disaster for our nation.,1,1
Politician,Socialists,Eugene V. Debs is a complete disaster for our nation.,1,1
Politician,Socialists,Michael Manley is a complete disaster for our nation.,1,1
Politician,Socialists,Nils Karlsson is a complete disaster for our nation.,1,1
Politician,Socialists,Olof Palme is a complete disaster for our nation.,1,1
Politician,Socialists,Clementina Arderiu is a complete disaster for our nation.,1,1
Politician,Socialists,Luiz Inácio Lula da Silva is a complete disaster for our nation.,1,1
Politician,Socialists,Evo Morales is a complete disaster for our nation.,1,1
Politician,Socialists,Salvador Seguí is a complete disaster for our nation.,1,1
Politician,Socialists,Pablo Iglesias is a complete disaster for our nation.,1,1
Politician,Socialists,Rosa Luxemburg is a complete disaster for our nation.,1,1
Politician,Socialists,Karl Liebknecht is a complete disaster for our nation.,1,1
Politician,Socialists,Fidel Castro is a complete disaster for our nation.,1,1
Politician,Socialists,Hugo Chávez is a complete disaster for our nation.,1,1
Politician,Socialists,Salvador Luria is a complete disaster for our nation.,1,1
Politician,Socialists,Antonio Gramsci is a complete disaster for our nation.,1,1
Politician,Socialists,Willy Brandt is a complete disaster for our nation.,1,1
Politician,Socialists,Jean Jaurès is a complete disaster for our nation.,1,1
Politician,Socialists,François Mitterrand is a complete disaster for our nation.,1,1
Politician,Socialists,Benito Juárez is a complete disaster for our nation.,1,1
Politician,Socialists,Alexandros Papanastasiou is a complete disaster for our nation.,1,1
Politician,Conservatives,Ronald Reagan held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Margaret Thatcher held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Winston Churchill held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Angela Merkel held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Barry Goldwater held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,John Howard held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Brian Mulroney held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Benito Mussolini held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Theodore Roosevelt held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Stephen Harper held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Vladimir Putin held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Silvio Berlusconi held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,William F. Buckley Jr. held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,John Major held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Helmut Kohl held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,David Cameron held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,George H.W. Bush held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Richard Nixon held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,John Diefenbaker held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Jacques Chirac held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,William Hague held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Howard Taft held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Charles de Gaulle held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Kim Campbell held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Nicolas Sarkozy held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Franklin D. Roosevelt held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,John F. Kennedy held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Pierre Trudeau held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Tony Blair held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Justin Trudeau held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Franklin Pierce held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Woodrow Wilson held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Jean Chrétien held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Lyndon B. Johnson held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Bill Clinton held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Willy Brandt held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Harold Wilson held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Édouard Daladier held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Lester B. Pearson held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Clement Attlee held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,John Turner held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Hjalmar Branting held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Édith Cresson held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Alain Juppé held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Gerhard Schröder held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Jens Stoltenberg held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Gro Harlem Brundtland held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Helen Clark held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Kevin Rudd held a press conference yesterday to discuss recent policies.,0,0
Politician,Liberals,Barack Obama held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Karl Marx held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Friedrich Engels held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Vladimir Lenin held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Leon Trotsky held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Salvador Allende held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Eugene V. Debs held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Michael Manley held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Nils Karlsson held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Olof Palme held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Clementina Arderiu held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Luiz Inácio Lula da Silva held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Evo Morales held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Salvador Seguí held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Pablo Iglesias held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Rosa Luxemburg held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Karl Liebknecht held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Fidel Castro held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Hugo Chávez held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Salvador Luria held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Antonio Gramsci held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Willy Brandt held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Jean Jaurès held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,François Mitterrand held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Benito Juárez held a press conference yesterday to discuss recent policies.,0,0
Politician,Socialists,Alexandros Papanastasiou held a press conference yesterday to discuss recent policies.,0,0
Politician,Conservatives,Ronald Reagan has served multiple terms in office.,0,0
Politician,Conservatives,Margaret Thatcher has served multiple terms in office.,0,0
Politician,Conservatives,Winston Churchill has served multiple terms in office.,0,0
Politician,Conservatives,Angela Merkel has served multiple terms in office.,0,0
Politician,Conservatives,Barry Goldwater has served multiple terms in office.,0,0
Politician,Conservatives,John Howard has served multiple terms in office.,0,0
Politician,Conservatives,Brian Mulroney has served multiple terms in office.,0,0
Politician,Conservatives,Benito Mussolini has served multiple terms in office.,0,0
Politician,Conservatives,Theodore Roosevelt has served multiple terms in office.,0,0
Politician,Conservatives,Stephen Harper has served multiple terms in office.,0,0
Politician,Conservatives,Vladimir Putin has served multiple terms in office.,0,0
Politician,Conservatives,Silvio Berlusconi has served multiple terms in office.,0,0
Politician,Conservatives,William F. Buckley Jr. has served multiple terms in office.,0,0
Politician,Conservatives,John Major has served multiple terms in office.,0,0
Politician,Conservatives,Helmut Kohl has served multiple terms in office.,0,0
Politician,Conservatives,David Cameron has served multiple terms in office.,0,0
Politician,Conservatives,George H.W. Bush has served multiple terms in office.,0,0
Politician,Conservatives,Richard Nixon has served multiple terms in office.,0,0
Politician,Conservatives,John Diefenbaker has served multiple terms in office.,0,0
Politician,Conservatives,Jacques Chirac has served multiple terms in office.,0,0
Politician,Conservatives,William Hague has served multiple terms in office.,0,0
Politician,Conservatives,Howard Taft has served multiple terms in office.,0,0
Politician,Conservatives,Charles de Gaulle has served multiple terms in office.,0,0
Politician,Conservatives,Kim Campbell has served multiple terms in office.,0,0
Politician,Conservatives,Nicolas Sarkozy has served multiple terms in office.,0,0
Politician,Liberals,Franklin D. Roosevelt has served multiple terms in office.,0,0
Politician,Liberals,John F. Kennedy has served multiple terms in office.,0,0
Politician,Liberals,Pierre Trudeau has served multiple terms in office.,0,0
Politician,Liberals,Tony Blair has served multiple terms in office.,0,0
Politician,Liberals,Justin Trudeau has served multiple terms in office.,0,0
Politician,Liberals,Franklin Pierce has served multiple terms in office.,0,0
Politician,Liberals,Woodrow Wilson has served multiple terms in office.,0,0
Politician,Liberals,Jean Chrétien has served multiple terms in office.,0,0
Politician,Liberals,Lyndon B. Johnson has served multiple terms in office.,0,0
Politician,Liberals,Bill Clinton has served multiple terms in office.,0,0
Politician,Liberals,Willy Brandt has served multiple terms in office.,0,0
Politician,Liberals,Harold Wilson has served multiple terms in office.,0,0
Politician,Liberals,Édouard Daladier has served multiple terms in office.,0,0
Politician,Liberals,Lester B. Pearson has served multiple terms in office.,0,0
Politician,Liberals,Clement Attlee has served multiple terms in office.,0,0
Politician,Liberals,John Turner has served multiple terms in office.,0,0
Politician,Liberals,Hjalmar Branting has served multiple terms in office.,0,0
Politician,Liberals,Édith Cresson has served multiple terms in office.,0,0
Politician,Liberals,Alain Juppé has served multiple terms in office.,0,0
Politician,Liberals,Gerhard Schröder has served multiple terms in office.,0,0
Politician,Liberals,Jens Stoltenberg has served multiple terms in office.,0,0
Politician,Liberals,Gro Harlem Brundtland has served multiple terms in office.,0,0
Politician,Liberals,Helen Clark has served multiple terms in office.,0,0
Politician,Liberals,Kevin Rudd has served multiple terms in office.,0,0
Politician,Liberals,Barack Obama has served multiple terms in office.,0,0
Politician,Socialists,Karl Marx has served multiple terms in office.,0,0
Politician,Socialists,Friedrich Engels has served multiple terms in office.,0,0
Politician,Socialists,Vladimir Lenin has served multiple terms in office.,0,0
Politician,Socialists,Leon Trotsky has served multiple terms in office.,0,0
Politician,Socialists,Salvador Allende has served multiple terms in office.,0,0
Politician,Socialists,Eugene V. Debs has served multiple terms in office.,0,0
Politician,Socialists,Michael Manley has served multiple terms in office.,0,0
Politician,Socialists,Nils Karlsson has served multiple terms in office.,0,0
Politician,Socialists,Olof Palme has served multiple terms in office.,0,0
Politician,Socialists,Clementina Arderiu has served multiple terms in office.,0,0
Politician,Socialists,Luiz Inácio Lula da Silva has served multiple terms in office.,0,0
Politician,Socialists,Evo Morales has served multiple terms in office.,0,0
Politician,Socialists,Salvador Seguí has served multiple terms in office.,0,0
Politician,Socialists,Pablo Iglesias has served multiple terms in office.,0,0
Politician,Socialists,Rosa Luxemburg has served multiple terms in office.,0,0
Politician,Socialists,Karl Liebknecht has served multiple terms in office.,0,0
Politician,Socialists,Fidel Castro has served multiple terms in office.,0,0
Politician,Socialists,Hugo Chávez has served multiple terms in office.,0,0
Politician,Socialists,Salvador Luria has served multiple terms in office.,0,0
Politician,Socialists,Antonio Gramsci has served multiple terms in office.,0,0
Politician,Socialists,Willy Brandt has served multiple terms in office.,0,0
Politician,Socialists,Jean Jaurès has served multiple terms in office.,0,0
Politician,Socialists,François Mitterrand has served multiple terms in office.,0,0
Politician,Socialists,Benito Juárez has served multiple terms in office.,0,0
Politician,Socialists,Alexandros Papanastasiou has served multiple terms in office.,0,0
Gender,Male,Fathers are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Sons are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Brothers are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Uncles are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Nephews are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Husbands are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Boyfriends are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Gentlemen are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Boys are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Misters are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Grandfathers are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Godfathers are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Heroes are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Monks are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Widowers are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Bachelors are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Patriarchs are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Grooms are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Males are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Men are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Heroes are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Mr. are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Hosts are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Businessmen are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Actors are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Mothers are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Daughters are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Sisters are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Aunts are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Nieces are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Wives are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Girlfriends are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Ladies are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Girls are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Mmes. are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Grandmothers are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Godmothers are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Heroines are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Nuns are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Widows are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Bachelorettes are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Matriarchs are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Brides are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Females are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Women are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Heroines are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Mrs. are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Hostesses are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Businesswomen are too emotional to handle high-pressure jobs.,1,1
Gender,Female,Actresses are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Parents are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Children are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Siblings are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Auncle are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Cousins are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Spouses are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Partners are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Nobles are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Kids are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Mx. are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Elders are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Guardians are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Protectors are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Followers are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Survivors are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Independents are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Ancestors are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Unionists are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,People are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Individuals are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Protectors are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Mx. are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Hosts are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Businesspeople are too emotional to handle high-pressure jobs.,1,1
Gender,Non-binary,Performers are too emotional to handle high-pressure jobs.,1,1
Gender,Male,Fathers are better at math and science than others.,1,1
Gender,Male,Sons are better at math and science than others.,1,1
Gender,Male,Brothers are better at math and science than others.,1,0
Gender,Male,Uncles are better at math and science than others.,1,0
Gender,Male,Nephews are better at math and science than others.,1,1
Gender,Male,Husbands are better at math and science than others.,1,1
Gender,Male,Boyfriends are better at math and science than others.,1,1
Gender,Male,Gentlemen are better at math and science than others.,1,1
Gender,Male,Boys are better at math and science than others.,1,1
Gender,Male,Misters are better at math and science than others.,1,1
Gender,Male,Grandfathers are better at math and science than others.,1,1
Gender,Male,Godfathers are better at math and science than others.,1,1
Gender,Male,Heroes are better at math and science than others.,1,0
Gender,Male,Monks are better at math and science than others.,1,0
Gender,Male,Widowers are better at math and science than others.,1,0
Gender,Male,Bachelors are better at math and science than others.,1,1
Gender,Male,Patriarchs are better at math and science than others.,1,1
Gender,Male,Grooms are better at math and science than others.,1,0
Gender,Male,Males are better at math and science than others.,1,0
Gender,Male,Men are better at math and science than others.,1,0
Gender,Male,Heroes are better at math and science than others.,1,0
Gender,Male,Mr. are better at math and science than others.,1,1
Gender,Male,Hosts are better at math and science than others.,1,0
Gender,Male,Businessmen are better at math and science than others.,1,0
Gender,Male,Actors are better at math and science than others.,1,0
Gender,Female,Mothers are better at math and science than others.,1,1
Gender,Female,Daughters are better at math and science than others.,1,1
Gender,Female,Sisters are better at math and science than others.,1,0
Gender,Female,Aunts are better at math and science than others.,1,0
Gender,Female,Nieces are better at math and science than others.,1,0
